state,democrat / lean democratic %,republican/lean republican %,democratic advantage %,n,classification
Alabama,35,50,-15,"3,057",Solid Republican
Alaska,31,52,-21,553,Solid Republican
Arizona,40,42,-2,"3,669",Competitive
Arkansas,36,45,-9,"1,883",Lean Republican
California,51,30,21,"18,168",Solid Democrat
Colorado,46,37,9,"3,574",Lean Democrat
Connecticut,51,32,19,"2,020",Solid Democrat
Delaware,45,33,12,500,Solid Democrat
District of Columbia,70,11,59,512,Solid Democrat
Florida,42,39,3,"11,094",Competitive
Georgia,42,40,2,"5,458",Competitive
Hawaii,50,28,22,739,Solid Democrat
Idaho,31,53,-22,"1,254",Solid Republican
Illinois,50,33,17,"5,712",Solid Democrat
Indiana,41,43,-2,"3,578",Competitive
Iowa,42,42,0,"2,126",Competitive
Kansas,34,48,-14,"1,771",Solid Republican
Kentucky,41,45,-4,"2,508",Competitive
Louisiana,40,43,-3,"2,589",Competitive
Maine,47,39,8,941,Lean Democrat
Maryland,56,28,28,"3,193",Solid Democrat
Massachusetts,57,26,31,"3,805",Solid Democrat
Michigan,45,38,7,"5,541",Lean Democrat
Minnesota,47,37,10,"3,428",Solid Democrat
Mississippi,38,45,-7,"1,654",Lean Republican
Missouri,38,45,-7,"3,602",Lean Republican
Montana,37,51,-14,"1,059",Solid Republican
Nebraska,35,50,-15,"1,437",Solid Republican
Nevada,42,39,3,"1,540",Competitive
New Hampshire,43,40,3,831,Competitive
New Jersey,48,33,15,"4,455",Solid Democrat
New Mexico,48,34,14,"1,454",Solid Democrat
New York,52,29,23,"10,864",Solid Democrat
North Carolina,44,39,5,"5,774",Competitive
North Dakota,28,56,-28,536,Solid Republican
Ohio,41,42,-1,"6,319",Competitive
Oklahoma,35,49,-14,"2,459",Solid Republican
Oregon,49,36,13,"3,187",Solid Democrat
Pennsylvania,46,41,5,"7,974",Competitive
Rhode Island,48,27,21,602,Solid Democrat
South Carolina,37,47,-10,"2,821",Solid Republican
South Dakota,35,52,-17,579,Solid Republican
Tennessee,35,47,-12,"4,117",Solid Republican
Texas,38,41,-3,"14,138",Competitive
Utah,29,56,-27,"2,099",Solid Republican
Vermont,52,30,22,496,Solid Democrat
Virginia,45,38,7,"4,893",Lean Democrat
Washington,49,34,15,"4,686",Solid Democrat
West Virginia,40,44,-4,"1,011",Competitive
Wisconsin,43,41,2,"3,353",Competitive
Wyoming,27,56,-29,493,Solid Republican
